title,url,country,visualizationType,thumbnail,author,other
"ACE inhibitors and ARBs are the most potent weapons against hypertension and there is no evidence o risk linked to COVID…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,OCHA services,
Action Against Corona,https://actionagainstcorona.org/,Sweden,Support Community,https://actionagainstcorona.org/,,
"Adaptive Biotechnologies and Microsot are turning their nearly twoyearold partnership to map and decode the huma…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Adaptive Biotechnologies and Microsot are turning their nearly twoyearold partnership to map and decode the human immune…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
AHParis,https://drive.google.com/open?id=1rmOsj1PrjKV-aBv_KVNLpdiN0DWPuRE0,<Unknown>,Data,https://cdn.pixabay.com/photo/2017/09/27/22/28/text-mining-icon-2793702_960_720.png,,
"All diseases stem rom our imbalance with nature and so we need only learn how to use this tool o our connectedne…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"All members o a household with people with suspected or conirmed COVID should avoid unnecessary exposure to th…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"All members o a household with people with suspected or conirmed COVID should regularly wash with soap amp water…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"All with masks to ight the covid all right Covid COVID COVIDitalia coviditaly coronavirus coro…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
Allergy-Zhang,https://onlinelibrary.wiley.com/doi/full/10.1111/all.14238,,Data,https://cdn.pixabay.com/photo/2017/09/27/22/28/text-mining-icon-2793702_960_720.png,,
"Amidst COVID It’s vital to deliver vaccines   to protect people rom old killers New guidance   provides all c…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Amount o coronavirus tests done in France isas oMar  coronavirus COVID CoronaVirusUpdates Covid""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"An ambulance caravan headed or NYC  COVID Covid coronavirus coronapocolypse St…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"An ambulance caravan headed or NYC  COVID Covid coronavirus coronapocolypse St…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"AN ITALIAN STORY HOW VIRUS HAS GONE VIRAL COVIDPandemic  COVID CoronavirusOutbreak…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"And ignite the industrial might and innovation o theto produce and distribute the tools needed to save l…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"and WHO the health and rights o reugees migrants and stateless person…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Andrew Jack Star Wars actor dies rom coronavirus AndrewJack StarWarsCoronavirus COVID COVID COVID CO…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Aordable and quick diagnosis is the irst step towards timely TB care It’s time or universal access to rapid mo…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"As egoists we each perceive a narrow reality We eel ourselves as separate rom other people and things primaril…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"As egoists we each perceive a narrow reality We eel ourselves as separate rom other people and things primarily concern…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"As egoists we each perceive a narrow reality We eel ourselves as separate rom other people and things primarily concern…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"As o this morning more thanpatients had been randomly assigned to one o the study arms Each new patient w…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"As someone who recently spent almost a week hooked up to a ventilator and probably wouldnt be alive today without one I c…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"As someone who recently spent almost a week hooked up to a ventilator and probably wouldnt be alive today without one I c…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"As the COVID pandemic evolves amp more countries are aected we are learning more about what works amp what doesn…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"As we enter the th month since the start o the COVID pandemic I am deeply concerned about the rapid escalati…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Ater the governments decision to close shops in Istanbul at in the beginning o March TB Hesham Adel istanbul…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Attack Bac ml Hand Sanitiser IN STOCK NOW  SHOP HERE    UK Shipping   COVID  COVID Covid…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Be Socially Responsible to Fight COVID SakaatForever Socialdistancing Covid Covid Covid Corona CoronaVi…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"BeActive and stay HealthyAtHomeHere are some physical activities you can do at home during COVID outbreak…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Bill Gates has some good ideas inarticle about how to make up or lost time on Covid Is it possible…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"BORED IN QUARANTINE COME PLAY PIANO WITH ME  music dexter pianomusic piano cover AprilFools…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"BORED IN QUARANTINE COME PLAY PIANO WITH ME  music dexter pianomusic piano cover…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Breaking No o conirmed coronavirus cases in Israel rises to  are in serious condition  COVID Co…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Breaking No o coronaviruslinked atalities in Israel reaches  COVID CoronaVirusUpdate COVID Coronavir…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"But what doesn’t change is WHO’s commitment to protecting the health o all people based on the best science wit…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"By sending us blows nature ultimately teaches us that we need to revise the way we live our lives to recognize th…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
Calls for solidarity,https://www.ustartclub.com/covid19-how-you-can-help-and-support-your-neighbors-hospitals-entrepreneurs-very-small-and-medium-sized-enterprises/?fbclid=IwAR1akWF42bkDfy1mO7OGoAqpH4tbb_pO8AcxRZ2U9HxcFk3YexCWq4sqbZ0,USA,Support Community,https://www.ustartclub.com/wp-content/uploads/2019/07/Ustart_white_1_-1.png,,
"Central Park is deceptively beautiul today as spring blossoms pink green and yellow amid this deadly pandemic COVID…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"China is again selling bats Pangolins as their markets are opening so do you ever plan on stoppin…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"China is again selling bats Pangolins as their markets are opening so do you ever plan on stopping or r…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"China is again selling bats Pangolins as their markets are opening so do you ever plan on stopping or r…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,echen102,
Coding: World Health Organization Open Source Global App initiative “Waze”,https://github.com/WorldHealthOrganization/app,<Unknown>,Software,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,covidecaremap,
"CoImmunology and the Web byCOVID  COVID Covid COVID COVID www internet""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
Community Pleated Masks,https://www.project-cloth-masks.com/,Global,Hardware,https://svgsilh.com/svg/1710300.svg,,
"Continues to be interesting that Scotland witho UK population has conductedo the UK tests and acc…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Cop wears corona helmet to raise awareness on coronavirus TamilNadu Coronavirus India CoronavirusOutbreak…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"CORONA VIRUS IS REAL Sanitize your handsand wash your phone se  Thank you    emmybrad…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
CoronaHandbook Community,https://chat.whatsapp.com/K36MueYd9xHGl8WcHvCx2w,,chat room,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Chat_Flat_Icon.svg/512px-Chat_Flat_Icon.svg.png,,
"Coronahub: Connects Healthcare Community workers and volunteers with medical providers, while its Slack chat channel allows for the general public to share Coronavirus news and exchange safety advice.",https://slofile.com/slack/coronahub,<Unknown>,Healthcare Community,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Preventive_Healthcare_-_The_Noun_Project.svg/512px-Preventive_Healthcare_-_The_Noun_Project.svg.png,,
"CoronaUK Today was the worst day so ar or CoronaVirus deaths in UKdied in the lasthours The total n…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
Coronavirus – When Should You Close Your Office?,https://docs.google.com/spreadsheets/d/17YyCmjb2Z2QwMiRRwAb7W0vQoEAiL9Co0ARsl03dSlw/htmlview?usp=sharing#,<Unknown>,Screening,https://c.pxhere.com/images/ed/6b/824956d500587f452bdaa41b1e29-1449503.jpg!d,,
"coronavirus COVID  COVID Covid  In France the government said clearly No matter how much it will cost we d…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"coronavirus COVID  COVID Covid  In France the government said clearly No matter how much it will cost…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"coronavirus COVID Covid  Current situation in Europe as oCET   …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"coronavirus COVID Covid  Current situation in Europe as oCET   …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"coronavirus COVID Covid  Current situation in Europe as oCET  cases…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Coronavirus How did Vietnam succeed in the ight against COVID science health corona coronavirus…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Coronavirus Living legend doctor Ala Saadu dies rom Covid coronavirus COVID COVID …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Coronavirus Makers: ¡Un mal respirador o un respirador mal usado, puede matar! (A bad respirator or a misused respirator can kill!)",https://www.coronavirusmakers.org,<Unknown>,Makers Community,https://freesvg.org/img/makers-start-button.png,,
"Coronavirus Trends – what can we learncoronavirus covid covid BigData Analytics""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Coronavirus wont be stopped until He comes out Publicize it CoronaVirusHOAX coronavirusmemes…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
Coronavirus: Shared knowledge and experiences regarding COVID-19,https://www.quora.com/q/coronavirus,<Unknown>,Community of Learning,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Learn_Icon-01.svg/500px-Learn_Icon-01.svg.png,,
Coronavirus: Why You Must Act Now,https://medium.com/@tomaspueyo/coronavirus-act-today-or-people-will-die-f4d3d9cd99ca,,article,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/News_Paper_Flat_Icon.svg/512px-News_Paper_Flat_Icon.svg.png,,
"Countries    ace diicult choices in balancing the demands o responding to COVID amp maintaining access to e…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Countries also expressed several common challenges The chronic global shortage o personal protective equipment…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Countries should work handinhand with communities to build trust and support resilience and mentalhealth…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
Courses repo on classcentral with focus on COVID19,https://www.classcentral.com/list/covid-19-867152so6mj,Global,Tech Support Community,https://pbs.twimg.com/profile_images/693150612028981248/pSqLG4TO_400x400.png,,
"COVID  ConinementJour containment COVID COVID coronavirus Cameron DalileCome at me brovirus   ht…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID A MESSAGE TO CANADIANS FROM RELIGIOUS LEADERS IN CANADA Hope Gratitude amp Solidarity A Response to the Global Pand…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
Covid Accelerator,covidaccelerator.com,Global,Hardware,https://svgsilh.com/svg/1710300.svg,,
"COVID can be controlled only i there is an inclusive approach which protects every individual’s rights to lie…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID Current Status in Malaysia as oAprilatpm PC Positive Covid  Negative  Pendi…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID Epidemiologic situation in Arica More inormation on gtgtgt  COVID FactsNotFear Aric…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID home caregivers should call   a healthcare acility immediately i the person with suspected or conirmed…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID home caregivers should ensure that a person with suspected or conirmed coronavirus rests drinks plenty…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID home caregivers should identiy suraces touched requently by the person with suspected or conirmed…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID home caregivers should requently clean with soap amp water or alcoholbased rub especially  ater any cont…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID home caregivers should use separate eating utensils   towels amp bedlinens or the person with suspected o…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID home caregivers should wear a medical mask   when in the same room with a person with suspected or conirm…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID home carehousehold members should Wash   regularly Avoid unnecessary exposure to ill person amp dont sh…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID homecaregivers Ensure ill person rests drinks plenty luids amp eats nutritiously Wear when in same room…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID No Evidence o Rapid Antiviral Clearance or Clinical Beneit with the Combination o Hydroxychloroquine and Azi…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID No Evidence o Rapid Antiviral Clearance or Clinical Beneit with the Combination o Hydroxychloroquine and Azi…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"COVID Stats For   Switzerland Currently Inected  Recovered  Deaths  Serious or Critical …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
COVID-19 Assist,https://doc19.org/clinic/,Global,Support Community,https://doc19.org/static/images/telemedicine.da8e1abddc06.png,,
COVID-19 Health System Capacity,https://www.covidcaremap.org/,,Data visualization,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
COVID-19 in Iceland – Statistics,https://www.covid.is/data,Iceland,Data visualization,https://dnzengou-seir-model.glitch.me/assets/img/favicon/favicon-32x32.png,,
COVID-19 Pandemic,https://data.humdata.org/event/covid-19,,Data visualization,https://cdn.pixabay.com/photo/2012/04/01/17/37/bar-23678_960_720.png,,
COVID-19 Public Datasets BigQuery Public Datasets Program,https://console.cloud.google.com/marketplace/details/bigquery-public-datasets/covid19-public-data-program?_ga=2.265022799.-1125899609.1585633504&pli=1,Global,Data,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Google-cloud-platform-v2.svg/256px-Google-cloud-platform-v2.svg.png,,
COVID-19 TweetIDs,https://github.com/echen102/COVID-19-TweetIDs,,Tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
COVID-19: Imperial researchers model likely impact of public health measures,https://www.imperial.ac.uk/news/196234/covid19-imperial-researchers-model-likely-impact/,UK,Modeling,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/News_Paper_Flat_Icon.svg/512px-News_Paper_Flat_Icon.svg.png,,
covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,,Data,https://cdn.pixabay.com/photo/2017/09/27/22/28/text-mining-icon-2793702_960_720.png,,
"COVID19 cases vs ICUS in Belgium, updated 02042020",https://colab.research.google.com/drive/1O7kH5sxu36atNYDavtEuw4Vw8Wq0SpUW#scrollTo=dKiwjD6wWi7_,Belgium,Data visualization,https://res.cloudinary.com/nholmber/image/upload/v1536751563/jupyter_colab_small_axbdcm.png,,
COVID19 dataset for researchers and hackers,https://datasetsearch.research.google.com/search?query=coronavirus%20covid-19&docid=c7BnT6bakuzvP2kAAAAAAA%3D%3D,Global,Data,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/512px-Google_%22G%22_Logo.svg.png,,
"crew members on RoyalCaribbean CelebrityApex cruise ship test positive or covid …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Critical Care Ontario Mar    crit care beds wcrit care ptscapacity  conirmed COVID  …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Critical Care Ontario Mar    crit care beds wcrit care ptscapacity  conirmed COVID  …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Current COVID COVID  COVID coronavirus data rom SiliconValley by SantaClara County One o main por…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Current status o COVID in Ontario Apramcasesnew casesdeathspending results  COVID…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Data from all countries and see how the disease Covid-19, caused by the coronavirus, evolves.",https://juststayhome.io/#/,Global,Data visualization,https://dnzengou-seir-model.glitch.me/assets/img/favicon/favicon-32x32.png,,
"Dayo Lagos and Abuja Lockdown GuardianTV went around capturing activities or lack o in both cities Coronaviru…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Despite setbacks coronavirus could hasten the adoption o autonomous vehicles and delivery robotsVentureBeat …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Despite setbacks coronavirus could hasten the adoption o autonomous vehicles and delivery robotsVentureBeat …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Despite setbacks coronavirus could hasten the adoption o autonomous vehicles and delivery robotsVentureBeat …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Did everyone who was expecting to get their irst Covid pandemic payment yesterdayreceive it IrelandLockdown Irel…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Doing any activity around the home is better than none at all Be active during COVID outbreak to maintain your…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Dont be an Aprilool WashYourHands COVID coronavirus Covid StayHome""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Dont be an Aprilool WashYourHands COVID coronavirus Covid StayHome""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"DrAnthony Fauci in FebTRUMP WILL HAVE A SURPRISE OUTBREAK  coronavirus Coronavirus…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"During an emergency wellpreparedorganized health systems    allow countries to  Provide equitable access to e…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"During COVID emergency countries must ensure that realtime inormation is available to all This includes  F…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"During COVID pandemic all countries    must ensure continuity o the ood supply chain in every way possible t…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"During the most recent Ebola epidemic or example some medicines that were thought to be eective were ound n…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"During these diicult times try to get out and walk a little bit outside It will help stimulate brain activity and…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Earlier today I spoke to trade ministers rom thecountries about ways to address the chronic shortage o…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Earlier today we held a brieing with aroundMinisters o Health rom around the world at which  amp   sha…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
Emergency mask for hospital ventilators,https://www.isinnova.it/easy-covid19-eng/,<Unknown>,Hardware,https://svgsilh.com/svg/1710300.svg,,
"EMERGENCY SERVICE     pakarly apple iphone repairiphone ipad corona covid covid…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Emergency Ventilator project is opensource amp uses a manual resuscitator selinlating bag already available at…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Emergency Ventilator project is opensource amp uses a manual resuscitator selinlating bag already available at…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"Emergency Ventilator project is opensource amp uses a manual resuscitator selinlating bag already available at…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
