Region	Places reporting cases	Cases	Deaths	Confirmed cases in the last 15 days
Europe	Guernsey	91	0	91
Europe	Holy_See	6	0	5
Europe	Hungary	585	21	512
Europe	Iceland	1319	4	1069
Europe	Ireland	3849	98	3483
Europe	Isle_of_Man	71	1	71
Europe	Italy	115242	13917	79529
Europe	Jersey	81	2	81
Europe	Kosovo	125	1	106
Europe	Latvia	458	0	387
Europe	Liechtenstein	75	0	50
Europe	Lithuania	649	9	616
Europe	Luxembourg	2487	30	2277
Europe	Malta	195	0	147
Europe	Moldova	505	6	469
Europe	Monaco	60	0	51
Europe	Montenegro	144	2	136
Europe	Netherlands	14697	1339	12646
Europe	North_Macedonia	354	11	312
Europe	Norway	4935	42	3512
Europe	Poland	2946	57	2659
Europe	Portugal	9034	209	8392
Europe	Romania	2738	94	2478
Europe	Russia	3548	30	3401
Europe	San_Marino	245	30	136
Europe	Serbia	1171	31	1077
Europe	Slovakia	426	0	319
Europe	Slovenia	897	16	611
Europe	Spain	110238	10003	96522
Europe	Sweden	5466	282	4165
Europe	Switzerland	18844	536	15834
Europe	Ukraine	804	20	785
Europe	United_Kingdom	33718	2921	31088
Oceania	Australia	5224	23	4659
Oceania	Fiji	7	0	7
Oceania	French_Polynesia	37	0	34
Oceania	Guam	82	3	79
Oceania	New_Caledonia	16	0	16
Oceania	New_Zealand	772	1	744
Oceania	Northern_Mariana_Islands	8	1	8
Oceania	Papua_New_Guinea	1	0	1
Other	Cases_on_an_international_conveyance_Japan	696	7	0
*Total*		*1000249*	*51515*	*784785*
